Questions,Answer
"Q: 

 Can you speak a little on marriage?
","
Sri Sri Ravi Shankar:
 Marriage is a commitment to share one's life and care for another. It helps one to come out of self-centeredness. In a marriage, you cannot always think about only yourself. After being married you have to also think about your spouse. If you want to go on a vacation, you cannot just wander around, you have to consult your better half, and all decisions need to be taken in consultation with one another.  Marriage is a very sacred institution where you tell your partner, ""All my desires I give to you and I take all your desires"". So each one has the responsibility to fulfill the other's desires and not their own. Growing in marriage is growing in responsibility, and love and responsibility go together.  Marriage is also that institution of commitment to serve the society together. If you are married only to serve yourself, then you start demanding from each other, and demand destroys love. If you both have a goal to serve society, to make a difference in the world, then it is like two parallel lines that can move together till infinity. Then, there is satisfaction; life finds a fulfillment.
"
"Q: 

 How to be in a relationship without depending on the other, and without feeling possessive?
","
Sri Sri Ravi Shankar:
Know that love is your nature and relax. By your very nature you are loving. Give the person whom you love their freedom, their space. When you love somebody, you almost want to suffocate them. You want to police them from morning till night. It may sound very difficult to not do this, but that is the wisest thing to do. Don’t police the person you love a lot.
"
"Q: 

 How do I know that I am in love, what are the signs?
","
Sri Sri Ravi Shankar:
 When you love someone you don't see anything wrong with them. Even if you see some fault in them, you justify the fault and say, ""Well, everyone does it! It is normal"".  Then you think you have not done enough for them. The more you do, the more you want to do for them. And they are always on your mind. You want to see them happy, you want them to have the best, and you get hurt even over small things. Ordinary things become extraordinary when you are in love.
"
"Q: 

 Why do relationships take away our freedom?
","
Sri Sri Ravi Shankar:
If there is wisdom in relationships, it does not take away freedom. If there is no wisdom, then there is no freedom. It is not the relationship that gives or takes away your freedom, it is lack of wisdom.
"
"Q: 

 How to cope with children’s expectations when they compare themselves with others and demand the things that others have?
","
Sri Sri Ravi Shankar:
You have to tell children that you can only give them this much and they shouldn’t compare themselves with others.  It is important that you don’t give them any false hope. At the same time, we can give them a dream. If you pass or do this, maybe you will get it. Here lies the importance of bringing them up with that sensitivity and belongingness. That is why I say, make your children participate in your life instead of teaching them, then they will not even ask you. They should be a participant in your life, then they will be sensitive towards you, rather than putting a demand on you.    Before you become a good father or mother, you need to become a good uncle or aunt. You should communicate more with the friends of your children. They will listen to you. Suppose, if your son or daughter’s friends have any wrong habit, you can influence them to change. They will listen to you more than their own parents.
"
"Q: 

 I am scared of commitment. How do I get over that?
","
Sri Sri Ravi Shankar:
 If someone tells you, ""I will take you to a movie tomorrow"", and you wait for them at the movie theater and they don't show up, how would you feel. Just put yourself in the receiver’s chair, and then you will see how important it is to be committed.  A commitment can only be felt when it oversteps convenience. That which is convenient is not commitment. Often, what is convenient does not bring comfort, but gives an illusion of comfort. Also if you are too stuck in commitment, and it is very inconvenient, you are be unable to fulfill your commitment and will feel frustrated. Wisdom is to strike a balance between convenience and commitment.
"
"Q: 

 How to treat a cheating spouse. Do I ignore and wait till they do this again or leave them?
","
Sri Sri Ravi Shankar:
 Well, first of all, don’t label them as a cheating spouse, know they are your spouse. If they have cheated in the past, they have done it out of some temptation, some ignorance, or some situation you don’t know what. But, with your love and compassion, with your love and support you can change them, and make them become more sincere.  If there is ever a competition between truth and love, it is love that will win. Truth will fail. Why does someone lie to you? It is because they feel that by telling the truth they may lose your love. A husband tells lies to his wife because he doesn’t want to lose the love of his wife. So love is more important than truth and that is why lies come.   If you give your spouse the assurance that no matter what the thing is, if they tell the truth, your love will never go down or you will not stop loving them, then they will never lie to you. They will come and confess every mistake and everything they do to you.   In ancient days this is what they used to do, because divorce was a remote possibility. People never used to divorce each other, so husbands would come and confess to the wives all the mistakes they made. The thinking was – “anyways she is not going to leave, she is going to be with him, so might as well tell her everything and keep my mind clear and feel free”. This is what people used to do if at all they committed any mistakes, or any adultery.   The main issue is -- do you have that power, that love to transform him or her? Do you have that patience to accommodate them, understand where they come from instead of just accusing them, pointing a finger at them, look you have cheated? If someone is cheating why are they doing that? Like a mother, if your son or daughter is making a mistake, don’t you go into the root of it, ""What made my son do this?” You don’t just accuse them and push them out, you go into the reason, the cause of why your child is doing that. You have to treat your spouse also like a child. Here in the west, mothering means showing authority, but mothering is a very positive term in the east. Mothering means not only as a companion but also a protector, one who takes care in all ways.
"
"Q: 

 I got divorced four years ago and got remarried less than a year ago. I see that the same situations are repeating in my life. Is this karma or am I not able to apply the knowledge?
","
Sri Sri Ravi Shankar:
You will know this better. See what mistakes you are making. Do you have acceptance? Do you serve a person? Why would someone not like to be with you if you are a fountain of joy and enthusiasm? Why would someone not like to be with you if you are full of love and service, if you are hollow and empty, if you are in wisdom and knowledge? Everyone will want to spend time with you. So keep yourself soaked in wisdom day and night.
"
"Q: 

 How to build a real, pure relationship?
","
Sri Sri Ravi Shankar:
Best not to try to build a relationship, just be yourself; be natural and be simple and a relationship will develop naturally.If you try to build a relationship, that is when you become a little artificial. Then your behavior becomes artificial, not natural. Just imagine someone is trying to impress you, don’t you notice that? If someone is trying to impress you, what do you do? You move away. What you like, that is what others like as well. You like someone to be very honest, open, natural, unassuming with you, correct? That is exactly what the other also wants from you. Don’t try hard to impress your girlfriend or boyfriend. Best is to be yourself, be forgiving and be in the present moment.
"
"Q: 

 I think I am addicted to sex. I have no self-control when it comes to sex. I try very hard, but I can’t control myself.
","
Sri Sri Ravi Shankar:
I think you have too much free time. If you are busy and you work hard, then you will get so tired that you will be waiting to hit the pillow. The moment you hit the pillow you will fall asleep. You either have too much free time or you are eating too much food; then obsessions and addictions come up. Too much food and sex are related. So, keep a watch on your food, keep a watch on your company and keep yourself very busy, especially at the age when the hormones play havoc. If you follow the language of moderation then you will be all right.   When you have a goal, or something to achieve, then you do not think about sex. Just ask any student, during exam time are they bombarded with thoughts of sex? They’ll say no. For that whole month when they have to achieve something, their mind is fully focused on it. They have a bundle of books to read and to prepare. So engaging yourself in some creative activity is helpful.  Pleasure always makes you run towards it first, and then later on makes you run away from it. This is its nature. First you crave for it and you go towards it, and then later on you go away from it because it becomes too much to handle. Yoga is that which makes you centered, it stabilizes you. When you are stable and centered, if pleasure is there, you enjoy it, if it’s not there, you don’t mind it. It does not occupy your mind. It’s not a craving that bothers you.
"
"Q: 

 How to cope with children’s expectations when they compare themselves with others and demand the things that others have?
","
Sri Sri Ravi Shankar:
You have to tell children that you can only give them this much and they shouldn’t compare themselves with others.  It is important that you don’t give them any false hope. At the same time, we can give them a dream. If you pass or do this, maybe you will get it. Here lies the importance of bringing them up with that sensitivity and belongingness. That is why I say, make your children participate in your life instead of teaching them, then they will not even ask you. They should be a participant in your life, then they will be sensitive towards you, rather than putting a demand on you.    Before you become a good father or mother, you need to become a good uncle or aunt. You should communicate more with the friends of your children. They will listen to you. Suppose, if your son or daughter’s friends have any wrong habit, you can influence them to change. They will listen to you more than their own parents.
"
"Q: 

 You have told us how to be in a relationship. Please tell us, how to come out of the relationship?
","
Sri Sri Ravi Shankar:
You have already come out of it! When you want to come out of it, it is already done, isn't it? The main thing is to relate yourself to the divinity. If you have a relationship with the divine, you have a relationship with everyone. Then the question of establishing or breaking a relationship with anyone does not arise.     In attempting to break also, one may get stuck badly. The more the mind tries to break away the more it gets pulled towards the relationship, and experiences pain. You neither want to stay nor leave. In leaving one feels as though some comfort is being lost, and in staying, the pain gets too intense and it is hard to stay on. So it is better to secure a relationship with the divine. This way, relationships with everyone else are automatically established.
"
"Q: 

 Can you speak a little on marriage?
","
Sri Sri Ravi Shankar:
 Marriage is a commitment to share one's life and care for another. It helps one to come out of self-centeredness. In a marriage, you cannot always think about only yourself. After being married you have to also think about your spouse. If you want to go on a vacation, you cannot just wander around, you have to consult your better half, and all decisions need to be taken in consultation with one another.  Marriage is a very sacred institution where you tell your partner, ""All my desires I give to you and I take all your desires"". So each one has the responsibility to fulfill the other's desires and not their own. Growing in marriage is growing in responsibility, and love and responsibility go together.  Marriage is also that institution of commitment to serve the society together. If you are married only to serve yourself, then you start demanding from each other, and demand destroys love. If you both have a goal to serve society, to make a difference in the world, then it is like two parallel lines that can move together till infinity. Then, there is satisfaction; life finds a fulfillment.
"
"Q: 

 How to face Rahu and Shani Mahadasha (astrological planetary positions that bring forth a very hard phase of time)?
","
Sri Sri Ravi Shankar:
Don’t think that Rahu Dasha or Shani Dasha are bad. If you are on the spiritual path, and if you practice meditation, all these Dashas will do only good things to you.  People think the Shani Dasha is very bad. Shani Dasha pushes you towards the spiritual path. If you are stuck in small things, it relieves you from there and puts you on the spiritual path. If you are already in knowledge and wisdom, Shani Dasha doesn't do anything wrong.  In life, there are ups and down. Some good thing happens. Something which you don't like happens. But every incident is an opportunity for you to grow stronger. So, don't worry about Rahu Dasha or Shani Dasha.
"
"Q: 

 Sometimes I feel very lonely. I really don’t know what to do to get rid of this. I need someone to support me and someone on whom I can rely on.
","
Sri Sri Ravi Shankar:
Any companionship when it goes from a place of wanting or lack to contributing, it is long lasting. You came into this world all alone. Even if you are born twins, you are alone. When you go from here, you are going to go alone. Do not try to run away from loneliness. It is a blessing in disguise.  'This is the time for you to be centered. Push away everything around you. You will find that you are the scintillating energy of the universe. You are the centre of the consciousness. You are the ultimate truth. And this loneliness is only one step away from realizing that. Loneliness exists because you want to grab something from outside.  Lord Krishna in Gita has said, 'Anityam asukham lokam imam prapya bhajasva mam'.  He is saying, 'This world is impermanent and there is no fun in it; there is no joy in it. Look up to me, merge in me. Put your attention onto me'. It is time for you to do this. Trying to fill your loneliness by looking for a companion or anything outside is not going to work. Know that you are in this planet to give something and then pack up and leave. That is it. You have come here to give something. Take nothing from here.     I am not against you having a relationship or a family, or getting married. You can have your spouse or your companion, but not from the space of wanting something from them. You can imagine a partnership where you are content and you are only contributing to the other person. Such a relationship will last longer. When you feel lonely, sit and meditate. Listen to bhajans or songs. Your beloved is within you. You just have to look inwards. Once you find the beloved within you, then you will find him/her everywhere in creation.
"
"Q: 

 I have come to know that sex is not good. How do I get over my desire to have sex?
","
Sri Sri Ravi Shankar:
Why do you think sex is negative? Through sex alone everybody has come to this earth., In the past people have been made to believe “Sex is the original sin”. Sex is not a sin, it is a basic function. Any plant, human, animal, everything comes out of it, and it is okay in moderation. Nothing should be done in extremes. All that we need to know is that there is a difference between bliss and sex. Sex is energy draining and bliss is energy conserving. One is energy consuming, the other is energy conserving. That is the thing.
"
"Q: 

 I am scared of commitment. How do I get over that?
","
Sri Sri Ravi Shankar:
 If someone tells you, ""I will take you to a movie tomorrow"", and you wait for them at the movie theater and they don't show up, how would you feel. Just put yourself in the receiver’s chair, and then you will see how important it is to be committed.  A commitment can only be felt when it oversteps convenience. That which is convenient is not commitment. Often, what is convenient does not bring comfort, but gives an illusion of comfort. Also if you are too stuck in commitment, and it is very inconvenient, you are be unable to fulfill your commitment and will feel frustrated. Wisdom is to strike a balance between convenience and commitment.
"
"Q: 

 How do I know that I am in love, what are the signs?
","
Sri Sri Ravi Shankar:
 When you love someone you don't see anything wrong with them. Even if you see some fault in them, you justify the fault and say, ""Well, everyone does it! It is normal"".  Then you think you have not done enough for them. The more you do, the more you want to do for them. And they are always on your mind. You want to see them happy, you want them to have the best, and you get hurt even over small things. Ordinary things become extraordinary when you are in love.
"
"Q: 

 Is there true love in this world? Most of the times love seems to be conditional, or out of convenience.
","
Sri Sri Ravi Shankar:
 Do you love others unconditionally? Ask yourself this! Do not judge other people’s love for you. Suppose you find that someone’s love for you is conditional, don’t ask them, “Do you really love me? How much do you love me? Will you continue to love me all your life?”  Don’t ask these silly questions. Take it for granted that the other person loves you. If you find that their love is a little less, ask them, “Why do you love me so much?” instead of saying ""You don’t love me"".  Demand destroys love, so you should not demand love. Whether it is father-son, mother-daughter, husband-wife, wherever the demand comes, love starts reducing. So from your side, you be unconditional to your partner or your parents and say, “I am here for you. What is it that you want, I am here”.
"
"Q: 

 I am not sure if I am with the right partner. I am getting bored in the relationship. What do I do?
","
Sri Sri Ravi Shankar:
See, if your relationship is based on personal need, it may not last long. Once the need is fulfilled, on a physical level or on an emotional level, the mind will look for something else and go somewhere else. If your relationship is from the level of sharing, then it can last longer.  When you are looking for security, love and comfort from your partner, you become weak. All the negative emotions come up and you become demanding, and demand destroys love. If we just know this one thing, we could save our love from getting rotten.
"
"Q: 

 How do we curb our desires to watch porn, which is so freely available these days?
","
Sri Sri Ravi Shankar:
Yoga, pranayama, meditation change these tendencies in you. It changes your nature. You know that you are not just the body; you are scintillating spirit. With the help of these practices, you find yourself elevated to another level.
"
"Q: 

 Please give guidance on parenting special children.
","
Sri Sri Ravi Shankar:
You simply serve them. Don’t pity them. You know, people with special needs, their soul is in a different state. They are not in a sorry state. They have come to this planet just to take service. With this attitude, you do service. Never have sympathy for them, ‘Oh poor child’. Children with special needs have come just to take service from you.
"
"Q: 

 How to be in a relationship without depending on the other, and without feeling possessive?
","
Sri Sri Ravi Shankar:
Know that love is your nature and relax. By your very nature you are loving. Give the person whom you love their freedom, their space. When you love somebody, you almost want to suffocate them. You want to police them from morning till night. It may sound very difficult to not do this, but that is the wisest thing to do. Don’t police the person you love a lot.
"
"Q: 

 I got divorced four years ago and got remarried less than a year ago. I see that the same situations are repeating in my life. Is this karma or am I not able to apply the knowledge?
","
Sri Sri Ravi Shankar:
You will know this better. See what mistakes you are making. Do you have acceptance? Do you serve a person? Why would someone not like to be with you if you are a fountain of joy and enthusiasm? Why would someone not like to be with you if you are full of love and service, if you are hollow and empty, if you are in wisdom and knowledge? Everyone will want to spend time with you. So keep yourself soaked in wisdom day and night.
"
"Q: 

 Please talk on the subject of divorce. When is it a good thing? Or is it always to be avoided?
","
Sri Sri Ravi Shankar:
 You should ask yourself, “Have you put your 100% to make the marriage work? Have you done all that you could to please your spouse and make them happy, and still it has not worked?”   Marriage means sacrifice. Sacrificing your desires for the good of the other and for the sake of the whole family. If you only keep thinking about your own wants then no marriage will work. You should see what “we” want. How “we” can progress and bring happiness to the family. Only if you keep your attention on that, will the marriage be successful.  So if you have done your 100% and still it doesn’t work, and you find that you are totally incompatible, then instead of being in hell and both suffering, with a good understanding you say, ""We cannot get along so you walk your way and I walk my way. Let’s be friends and be happy"".     So, one must part with this understanding. There is no point in living in a furnace all day and all night. But not like this gentleman who said that they had been married for forty years and suddenly after forty years, they realized that they we were never compatible. He is already seventy years old, and has been married for forty years and now he says, ""We were never compatible.”   Never mind, bear it for another five to ten years. Anyway, they say marriages are made in heaven, so when you go up there, you can resolve it.
"
"Q: 

 I could not marry the person I was in love with because of certain circumstances. Now I am not able to give all of my love to the person I am married to. How do I fix this struggle?
","
Sri Sri Ravi Shankar:
 Look, you have made this relationship, so now give your 100% and see. Otherwise you will only keep dreaming. If a husband thinks that 'I did not get the kind of wife I wanted', and the wife thinks that 'I didn’t get the kind of husband I wanted', then both are going in different directions. This one relationship alone is not life; besides this there is so much to do in this world. So settle this one issue completely and move on.   You should think what I can do for this world, what I can do for the people around me, how much knowledge can I attain, and how much love can I give to others, instead of getting stuck from one relationship to another. You didn’t like one relationship so you went to the second one, then third one. There is no point in being a rolling stone. There is nothing called a perfect match. Whatever match you have gotten, you should be happy and move on with it. One area of your life is settled, so now move forward. No point of jumping from one relationship to another.   An elderly lady is Canada once said to me, ""Gurudev, you know that my husband is a very tough man and I have to manage him. I thought I would leave, but then I thought, if I don’t know how to row one boat then I cannot row the other boat as well. So, if you don’t know how to row one boat, changing the boat is not going to help you.
"
"Q: 

 I want to be honest with my parents about my sexuality. Yet my fear of losing their love and support has been stopping me from being honest with them. Please guide me to a solution.
","
Sri Sri Ravi Shankar:
 What are you going to achieve by telling your parents? Is it going to make them any happier? When they are not going to be happy, what is the point in telling them? Think about it. You don’t have to pretend to be what you are not; at the same time you don’t have to put a bomb where people cannot accept it. You could tell them gradually; prepare them in some way.  You have to study the situation. How fragile are your parents? How unhappy they will become by your saying that? Is it worth being that honest to them if this is going to make them miserable? You need to judge all these pros and cons.  In the ancient days, they used to say, ""Speak the truth but speak the pleasant truth. Don’t speak unpleasant truth and don’t speak pleasant lies"". This is the perfect balance.  So use your sense of discrimination and gently prepare them if you want to tell them, if it’s going to serve some purpose.
"
"Q: 

 Can you speak a little on marriage?
","
Sri Sri Ravi Shankar:
 Marriage is a commitment to share one's life and care for another. It helps one to come out of self-centeredness. In a marriage, you cannot always think about only yourself. After being married you have to also think about your spouse. If you want to go on a vacation, you cannot just wander around, you have to consult your better half, and all decisions need to be taken in consultation with one another.  Marriage is a very sacred institution where you tell your partner, ""All my desires I give to you and I take all your desires"". So each one has the responsibility to fulfill the other's desires and not their own. Growing in marriage is growing in responsibility, and love and responsibility go together.  Marriage is also that institution of commitment to serve the society together. If you are married only to serve yourself, then you start demanding from each other, and demand destroys love. If you both have a goal to serve society, to make a difference in the world, then it is like two parallel lines that can move together till infinity. Then, there is satisfaction; life finds a fulfillment.
"
"Q: 

 How do I satisfy my loved ones that are very demanding? I feel like I have no freedom.
","
Sri Sri Ravi Shankar:
 Sometimes, it is okay to be little insensitive. When the demands are not justified or not logical, you do not have to feel obliged by those demands, but you don't have to get upset either.  Suppose you are not a doctor and someone is demanding, ""Give me medicine""; will you get upset? No! You will just smile and say, ""Well, I am sorry, I am not a doctor, I can't treat you"". Now if they get upset then it is not your problem!  Find inner strength. Once you find your inner strength, nobody can take away your peace. And when you are centered, you are able to manage any situation, however complex however demanding.
"
"Q: 

 How to keep on loving without expecting. How is it possible? In love expectations arise, and if not fulfilled, it hurts.
","
Sri Sri Ravi Shankar:
Yes, you will have to go through these gymnastics. If you have wisdom, you don’t have to go through the pain to learn. When there is lack of wisdom, you go through pain, but you will come out of it in sometime, don’t worry.  This is why it is important for one to have a larger context to life. When you have a larger context, all these trivial things don’t really bother you. They are all like waves on the surface of the ocean, they rise and fall. So, have a bigger context to life; that is the knowledge of the self.  When you go deeper into the self, you realize that nothing can shake you because you are much bigger than your emotions, your situations and the people around you. Their praise and their blame don’t matter because you are much bigger than all this! Self knowledge uplifts you. With self knowledge you do not drown in the ocean of emotions and hurt.
"
"Q: 

 I am scared of commitment. How do I get over that?
","
Sri Sri Ravi Shankar:
 If someone tells you, ""I will take you to a movie tomorrow"", and you wait for them at the movie theater and they don't show up, how would you feel. Just put yourself in the receiver’s chair, and then you will see how important it is to be committed.  A commitment can only be felt when it oversteps convenience. That which is convenient is not commitment. Often, what is convenient does not bring comfort, but gives an illusion of comfort. Also if you are too stuck in commitment, and it is very inconvenient, you are be unable to fulfill your commitment and will feel frustrated. Wisdom is to strike a balance between convenience and commitment.
"
"Q: 

 I think I am addicted to sex. I have no self-control when it comes to sex. I try very hard, but I can’t control myself.
","
Sri Sri Ravi Shankar:
I think you have too much free time. If you are busy and you work hard, then you will get so tired that you will be waiting to hit the pillow. The moment you hit the pillow you will fall asleep. You either have too much free time or you are eating too much food; then obsessions and addictions come up. Too much food and sex are related. So, keep a watch on your food, keep a watch on your company and keep yourself very busy, especially at the age when the hormones play havoc. If you follow the language of moderation then you will be all right.   When you have a goal, or something to achieve, then you do not think about sex. Just ask any student, during exam time are they bombarded with thoughts of sex? They’ll say no. For that whole month when they have to achieve something, their mind is fully focused on it. They have a bundle of books to read and to prepare. So engaging yourself in some creative activity is helpful.  Pleasure always makes you run towards it first, and then later on makes you run away from it. This is its nature. First you crave for it and you go towards it, and then later on you go away from it because it becomes too much to handle. Yoga is that which makes you centered, it stabilizes you. When you are stable and centered, if pleasure is there, you enjoy it, if it’s not there, you don’t mind it. It does not occupy your mind. It’s not a craving that bothers you.
"
"Q: 

 Please give guidance on parenting special children.
","
Sri Sri Ravi Shankar:
You simply serve them. Don’t pity them. You know, people with special needs, their soul is in a different state. They are not in a sorry state. They have come to this planet just to take service. With this attitude, you do service. Never have sympathy for them, ‘Oh poor child’. Children with special needs have come just to take service from you.
"
"Q: 

 Is being gay an impression of the mind?
","
Sri Sri Ravi Shankar:
It could be, or it could also be biological.  My advice would be to get out of labelling yourself based on some tendency of the body. Know that you are consciousness, you are love, you are scintillating energy. Your identification as energy, as love and as a beautiful person is far better than identifying yourself with the physical tendencies that may arise in you.   The spirit has no gender, it is beyond gender. The spirit is love, and that is what you are. When you know this, you become very solid.
"
"Q: 

 How do I deal with the rebelliousness of my kids?
","
Sri Sri Ravi Shankar:
Negative suggestions call for rebelliousness in the mind. If you say, “Don't do it”, then the mind says, “Why? Let me do it!” The mind calls for rebelliousness. But if you say, “You can do it, only you won't get the results”, then you don't leave a chance for the mind to be rebellious, then it takes the knowledge in.  I remember one dentist would tell kids who would ask ‘Why should I brush my teeth’, he would say, “No, you don't need to brush the teeth that you don't want, you only brush the teeth that you want to keep!”  So, move from negative suggestions to positive ones, this is important. When there is strong bonding, then negative or positive suggestions don’t matter. It’s only when the bonding is not very strong that negative suggestions call for rebelliousness in the mind.
"
